name,year,rating,votes,reviews,Title Type
Role Play,2024,5.5,19743,https://www.imdb.com/title/tt12964320/,Movie
Rudy,2023,6,159,https://www.imdb.com/title/tt12654846/,Movie
Rumble Through the Dark,2023,5.5,9746,https://www.imdb.com/title/tt10950320/,Movie
Saw X,2023,6.6,92788,https://www.imdb.com/title/tt21807222/,Movie
Scrambled,2023,5.8,1609,https://www.imdb.com/title/tt21270966/,Movie
Sense & Sensibility,2024,4.9,853,https://www.imdb.com/title/tt31068365/,TV Movie
Shang-Chi and the Legend of the Ten Rings,2021,7.3,473851,https://www.imdb.com/title/tt9376612/,Movie
Shayda,2023,6.7,1275,https://www.imdb.com/title/tt13200006/,Movie
Shazam!,2019,7,405877,https://www.imdb.com/title/tt0448115/,Movie
Shazam! Fury of the Gods,2023,5.9,141018,https://www.imdb.com/title/tt10151854/,Movie
Shirley,2024,6.2,3477,https://www.imdb.com/title/tt14077516/,Movie
Showdown at the Grand,2023,4.8,797,https://www.imdb.com/title/tt18115690/,Movie
Shut In,2016,4.8,15444,https://www.imdb.com/title/tt2582500/,Movie
Sing,2016,7.1,206533,https://www.imdb.com/title/tt3470600/,Movie
Sisu,2022,6.9,101693,https://www.imdb.com/title/tt14846026/,Movie
Small Town Remedies,2020,6.3,19,https://www.imdb.com/title/tt12837368/,Movie
Snack Shack,2024,7,14730,https://www.imdb.com/title/tt22004344/,Movie
Sometimes I Think About Dying,2023,6.6,7192,https://www.imdb.com/title/tt16431966/,Movie
Sonic the Hedgehog,2020,6.5,185851,https://www.imdb.com/title/tt3794354/,Movie
Sonic the Hedgehog 2,2022,6.5,110935,https://www.imdb.com/title/tt12412888/,Movie
Sonic the Hedgehog 3,2024,6.9,71543,https://www.imdb.com/title/tt18259086/,Movie
Soul,2020,8,416269,https://www.imdb.com/title/tt2948372/,Movie
Sound of Freedom,2023,7.6,133252,https://www.imdb.com/title/tt7599146/,Movie
South Park: The End of Obesity,2024,7.1,8993,https://www.imdb.com/title/tt32375562/,TV Special
Spaceman,2024,5.7,44978,https://www.imdb.com/title/tt11097384/,Movie
